Samples,Region,Type,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Lovelock3,Lovelock Cave,Ancient,-0.0043,-0.0298,-1.5613,0.1024,0.0141,0.1575,-228039.125
Lovelock2,Lovelock Cave,Ancient,-0.1501,0.1322,-3.2607,0.245,0.0311,0.3051,-487995.2116
USR1,USR1,Ancient,-0.1211,0.1413,-2.5408,0.1824,0.029,0.2347,-377270.4616
Spirit_Cave,Spirit Cave,Ancient,-0.0891,0.056,-2.5265,0.1865,0.0236,0.2414,-375245.9015
Chile_A460,A460,Ancient,-0.1061,0.0812,-2.7489,0.1953,0.0315,0.244,-409470.9445
IL2,Peru,Ancient,-0.0843,0.0605,-2.5733,0.1591,0.0251,0.2273,-379868.1336
Sumidouro5,Brazil,Ancient,-0.1476,0.1316,-3.1624,0.2404,0.0298,0.2923,-472480.2739
Anzick,Anzick,Ancient,-0.0202,-0.0066,-1.6794,0.1194,0.0136,0.157,-245398.0505
Panama_Pa10,Panama,Ancient,-0.2079,0.2165,-4.0422,0.32,0.0449,0.3788,-606708.1691
U-19B,Uruguay,Ancient,-0.2035,0.2137,-3.5547,0.2732,0.0381,0.3245,-532797.3188
IL3,Peru,Ancient,0.0034,-0.0433,-1.4963,0.0687,0.008,0.1369,-217012.1243
IL7,Peru,Ancient,-0.0112,-0.0279,-1.7252,0.083,0.0181,0.1639,-250656.7826
U-13,Uruguay,Ancient,-0.2847,0.3085,-4.3523,0.3383,0.0456,0.4019,-655099.2634
LP6005677-DNA_D03,South Africa,Modern,-0.9235,-0.0182,-0.061,0.0113,-0.0012,0.0057,0.2112
LP6005443-DNA_C07,Papuan,Modern,0.1467,0.5726,-0.0319,0.0391,-0.7102,-0.0277,0.0215
LP6005443-DNA_D08,Papuan,Modern,0.1474,0.5804,-0.0758,-0.0109,0.7008,0.0391,-0.0602
LP6005441-DNA_A12,Brazil,Modern,0.1818,-0.3259,-0.2859,0.4764,0.0399,-0.6384,-0.2301
LP6005677-DNA_F01,Peru,Modern,0.1669,-0.2937,-0.2554,-0.819,-0.0318,-0.0776,-0.2408
LP6005441-DNA_A04,Colombia,Modern,0.0984,-0.1877,0.8984,-0.0136,0.0315,-0.0629,-0.4127
SS6004476,Brazil,Modern,0.1822,-0.3274,-0.1883,0.3167,-0.029,0.7617,-0.157
